UTC,Temperature,Humidity,TVOC,eCO2,Raw_H2,Raw_Ethanol,Pressure,PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire_Alarm
1654763371,19.6,47.16,38,400,13130,20008,939.624,0.88,0.91,6.04,0.943,0.021,2028,0
1654763372,19.6,47.12,42,400,13131,20008,939.621,0.9,0.93,6.19,0.965,0.022,2029,0
1654763373,19.64,47.02,38,400,13130,20015,939.61,0.92,0.95,6.3,0.983,0.022,2030,0
1654763374,19.67,47,52,400,13123,20000,939.627,0.93,0.96,6.38,0.995,0.022,2031,0
1654763375,19.64,46.98,43,400,13124,20001,939.639,0.92,0.96,6.37,0.993,0.022,2032,0
1654763376,18.4,46.85,73,400,13106,19984,939.647,0.92,0.95,6.31,0.984,0.022,2033,0
1654763377,17.98,47.31,75,400,13105,19975,939.656,0.92,0.95,6.32,0.986,0.022,2034,0
1654763378,17.78,47.96,72,400,13109,19976,939.657,0.93,0.96,6.37,0.994,0.022,2035,0
1654763379,17.68,48.74,73,400,13113,19978,939.661,0.93,0.97,6.41,1,0.023,2036,0
1654763380,17.52,49.39,76,400,13117,19988,939.657,0.92,0.96,6.35,0.991,0.022,2037,0
1654763381,17.48,49.96,68,400,13117,19989,939.644,0.91,0.94,6.24,0.973,0.022,2038,0
1654763382,17.41,50.46,62,400,13117,19992,939.639,0.9,0.93,6.18,0.963,0.022,2039,0
1654763383,17.37,50.97,48,400,13131,20003,939.64,0.89,0.93,6.15,0.96,0.022,2040,0
1654763384,17.28,51.31,55,400,13126,19996,939.641,0.9,0.93,6.18,0.964,0.022,2041,0
1654763385,17.24,51.62,54,400,13129,19996,939.626,0.91,0.94,6.24,0.973,0.022,2042,0
1654763386,17.24,51.93,47,400,13130,19998,939.622,0.91,0.95,6.27,0.977,0.022,2043,0
1654763387,17.2,52.19,48,400,13130,20006,939.627,0.9,0.94,6.23,0.971,0.022,2044,0
1654763388,17.17,52.39,44,400,13132,20013,939.623,0.89,0.92,6.12,0.954,0.022,2045,0
1654763389,17.11,52.59,49,400,13126,20007,939.617,0.84,0.87,5.79,0.904,0.02,2046,0
1654763390,17.1,52.76,51,400,13122,20004,939.613,0.82,0.85,5.64,0.88,0.02,2047,0
1654763391,17.07,52.89,52,400,13123,19999,939.629,0.76,0.79,5.26,0.821,0.019,2048,0
1654763392,17.03,53.08,40,400,13129,20005,939.631,0.73,0.76,5.05,0.787,0.018,2049,0
1654763393,17,53.18,36,400,13130,20014,939.632,0.69,0.72,4.78,0.745,0.017,2050,0
1654763394,17,53.28,48,400,13124,20010,939.626,0.68,0.7,4.66,0.727,0.016,2051,0
1654763395,16.98,53.4,45,400,13128,20009,939.631,0.65,0.68,4.5,0.702,0.016,2052,0
1654763396,16.95,53.44,42,400,13128,20009,939.635,0.65,0.67,4.46,0.695,0.016,2053,0
1654763397,16.95,53.57,49,400,13124,20007,939.628,0.64,0.67,4.42,0.69,0.016,2054,0
1654763398,16.95,53.66,36,400,13128,20009,939.63,0.64,0.67,4.43,0.691,0.016,2055,0
1654763399,16.91,53.73,35,400,13134,20026,939.632,0.64,0.66,4.37,0.682,0.015,2056,0
1654763400,16.91,53.79,38,400,13129,20016,939.644,0.6,0.63,4.16,0.649,0.015,2057,0
1654763401,16.91,53.84,47,400,13128,20012,939.648,0.59,0.62,4.08,0.636,0.014,2058,0
1654763402,16.91,53.92,40,400,13131,20017,939.648,0.59,0.61,4.03,0.629,0.014,2059,0
1654763403,16.89,53.96,35,400,13131,20015,939.65,0.6,0.62,4.11,0.64,0.014,2060,0
1654763404,16.85,54.11,38,400,13129,20018,939.63,0.62,0.64,4.25,0.663,0.015,2061,0
1654763405,18.12,54.26,5,400,13160,20053,939.626,0.63,0.66,4.34,0.677,0.015,2062,0
1654763406,18.51,53.74,6,400,13164,20046,939.627,0.63,0.66,4.36,0.679,0.015,2063,0
1654763407,18.71,53.03,8,400,13162,20049,939.637,0.65,0.68,4.49,0.7,0.016,2064,0
1654763408,18.84,52.28,10,400,13164,20048,939.625,0.66,0.69,4.55,0.71,0.016,2065,0
1654763409,18.92,51.62,9,400,13161,20044,939.63,0.69,0.72,4.74,0.74,0.017,2066,0
1654763410,18.99,51.04,7,400,13163,20043,939.638,0.7,0.73,4.82,0.751,0.017,2067,0
1654763411,19.12,50.53,1,400,13162,20044,939.642,0.73,0.76,5.03,0.785,0.018,2068,0
1654763412,19.18,50.03,2,400,13162,20052,939.651,0.8,0.83,5.5,0.857,0.019,2069,0
1654763413,19.26,49.67,2,400,13168,20059,939.639,0.82,0.85,5.63,0.878,0.02,2070,0
1654763414,19.29,49.34,8,400,13161,20053,939.645,0.84,0.87,5.76,0.898,0.02,2071,0
1654763415,19.34,49.07,9,400,13160,20054,939.64,0.84,0.87,5.78,0.901,0.02,2072,0
1654763416,19.39,48.83,7,400,13164,20062,939.625,0.87,0.9,5.96,0.93,0.021,2073,0
1654763417,19.41,48.61,5,400,13156,20053,939.62,0.87,0.9,5.97,0.93,0.021,2074,0
1654763418,19.44,48.46,4,400,13159,20055,939.608,0.86,0.9,5.95,0.928,0.021,2075,0
1654763419,19.47,48.28,0,400,13155,20052,939.612,0.86,0.9,5.93,0.925,0.021,2076,0
1654763420,19.51,48.17,0,400,13158,20054,939.619,0.87,0.9,5.97,0.931,0.021,2077,0
1654763421,19.55,48.02,7,400,13158,20052,939.628,0.87,0.9,5.97,0.932,0.021,2078,0
1654763422,19.57,47.94,2,400,13163,20061,939.63,0.87,0.91,6,0.936,0.021,2079,0
1654763423,19.6,47.86,4,400,13156,20059,939.641,0.87,0.9,5.97,0.932,0.021,2080,0
1654763424,19.62,47.73,5,400,13160,20062,939.637,0.86,0.89,5.91,0.921,0.021,2081,0
1654763425,19.65,47.69,11,400,13161,20055,939.645,0.86,0.89,5.92,0.923,0.021,2082,0
1654763426,19.68,47.61,4,400,13160,20052,939.643,0.85,0.89,5.87,0.915,0.021,2083,0
1654763427,19.71,47.5,0,400,13164,20058,939.635,0.84,0.87,5.76,0.899,0.02,2084,0
1654763428,19.7,47.45,14,400,13156,20046,939.627,0.84,0.87,5.78,0.901,0.02,2085,0
1654763429,19.71,47.43,0,400,13165,20058,939.627,0.88,0.92,6.09,0.949,0.021,2086,0
1654763430,19.74,47.35,3,400,13160,20051,939.633,0.91,0.94,6.25,0.975,0.022,2087,0
1654763431,19.77,47.27,6,400,13155,20055,939.626,0.93,0.97,6.41,0.999,0.023,2088,0
1654763432,19.77,47.23,3,400,13160,20067,939.62,0.94,0.98,6.47,1.009,0.023,2089,0
1654763433,19.82,47.17,1,400,13158,20066,939.618,0.93,0.97,6.43,1.003,0.023,2090,0
1654763434,19.79,47.17,7,400,13154,20055,939.62,0.92,0.96,6.35,0.99,0.022,2091,0
1654763435,18.54,46.98,25,400,13141,20039,939.626,0.88,0.91,6.05,0.943,0.021,2092,0
1654763436,18.1,47.46,25,400,13136,20028,939.625,0.86,0.89,5.9,0.92,0.021,2093,0
1654763437,17.93,48.2,25,400,13131,20033,939.614,0.86,0.89,5.9,0.92,0.021,2094,0
1654763438,17.79,48.96,28,400,13129,20027,939.614,0.85,0.88,5.86,0.914,0.021,2095,0
1654763439,17.71,49.58,34,400,13137,20027,939.618,0.85,0.88,5.82,0.908,0.02,2096,0
1654763440,17.64,50.14,26,400,13133,20028,939.627,0.84,0.87,5.77,0.9,0.02,2097,0
1654763441,17.57,50.64,24,400,13135,20035,939.628,0.83,0.86,5.68,0.886,0.02,2098,0
1654763442,17.5,51.13,16,400,13139,20034,939.641,0.82,0.85,5.64,0.88,0.02,2099,0
1654763443,17.44,51.43,23,400,13142,20044,939.644,0.8,0.83,5.53,0.862,0.019,2100,0
1654763444,17.41,51.76,26,400,13138,20036,939.647,0.8,0.83,5.5,0.858,0.019,2101,0
1654763445,17.34,52.22,14,400,13140,20041,939.645,0.79,0.82,5.41,0.844,0.019,2102,0
1654763446,17.28,52.46,14,400,13136,20028,939.637,0.8,0.83,5.5,0.857,0.019,2103,0
1654763447,17.27,52.67,20,400,13133,20037,939.636,0.82,0.85,5.61,0.875,0.02,2104,0
1654763448,17.26,52.78,25,400,13131,20035,939.639,0.83,0.86,5.7,0.889,0.02,2105,0
1654763449,17.23,52.95,17,400,13139,20041,939.642,0.83,0.86,5.71,0.891,0.02,2106,0
1654763450,17.2,53.06,21,400,13133,20036,939.632,0.82,0.85,5.66,0.883,0.02,2107,0
1654763451,17.16,53.21,25,400,13139,20034,939.637,0.83,0.86,5.71,0.89,0.02,2108,0
1654763452,17.16,53.28,29,400,13132,20024,939.646,0.83,0.87,5.74,0.895,0.02,2109,0
1654763453,17.13,53.41,31,400,13133,20028,939.64,0.82,0.86,5.68,0.885,0.02,2110,0
1654763454,17.11,53.46,10,400,13140,20038,939.642,0.81,0.84,5.59,0.872,0.02,2111,0
1654763455,17.1,53.58,27,400,13142,20038,939.635,0.77,0.8,5.32,0.829,0.019,2112,0
1654763456,17.1,53.71,23,400,13145,20033,939.637,0.75,0.78,5.19,0.81,0.018,2113,0
1654763457,17.09,53.77,28,400,13148,20034,939.629,0.75,0.78,5.15,0.803,0.018,2114,0
1654763458,17.06,53.82,27,400,13145,20040,939.634,0.75,0.78,5.15,0.803,0.018,2115,0
1654763459,17.03,53.95,15,400,13153,20045,939.635,0.76,0.79,5.2,0.811,0.018,2116,0
1654763460,17.02,54.02,6,400,13157,20050,939.63,0.75,0.78,5.19,0.81,0.018,2117,0
1654763461,17.02,54.09,6,400,13153,20046,939.633,0.75,0.78,5.19,0.809,0.018,2118,0
1654763462,16.99,54.15,6,400,13154,20052,939.651,0.74,0.77,5.12,0.799,0.018,2119,0
1654763463,16.99,54.24,3,400,13157,20053,939.652,0.76,0.79,5.23,0.816,0.018,2120,0
1654763464,18.27,54.36,0,400,13176,20080,939.65,0.81,0.84,5.57,0.868,0.02,2121,0
1654763465,18.67,53.88,0,400,13182,20082,939.652,0.84,0.87,5.79,0.902,0.02,2122,0
1654763466,18.84,53.15,0,400,13174,20080,939.653,0.9,0.94,6.23,0.971,0.022,2123,0
1654763467,18.96,52.36,0,400,13171,20073,939.648,0.94,0.97,6.45,1.005,0.023,2124,0
1654763468,19.07,51.7,0,400,13174,20080,939.649,0.96,1,6.63,1.035,0.023,2125,0
1654763469,19.18,51.11,0,400,13171,20079,939.658,0.97,1.01,6.68,1.042,0.024,2126,0
1654763470,19.24,50.52,0,400,13167,20071,939.657,1.02,1.06,6.99,1.09,0.025,2127,0
1654763471,19.3,50.07,0,400,13168,20073,939.645,1.03,1.08,7.12,1.111,0.025,2128,0
1654763472,19.4,49.7,0,400,13162,20076,939.636,1.06,1.1,7.3,1.138,0.026,2129,0
1654763473,19.43,49.34,0,400,13160,20066,939.631,1.07,1.11,7.36,1.148,0.026,2130,0
1654763474,19.47,49.06,8,400,13157,20059,939.631,1.07,1.11,7.38,1.151,0.026,2131,0
1654763475,19.53,48.84,2,400,13161,20066,939.629,1.09,1.13,7.51,1.172,0.026,2132,0
1654763476,19.57,48.61,0,400,13163,20065,939.631,1.09,1.13,7.49,1.168,0.026,2133,0
1654763477,19.6,48.39,5,400,13159,20056,939.631,1.09,1.13,7.48,1.166,0.026,2134,0
1654763478,19.64,48.26,0,400,13169,20075,939.63,1.07,1.11,7.34,1.144,0.026,2135,0
1654763479,19.65,48.15,0,400,13164,20068,939.634,1.04,1.08,7.18,1.12,0.025,2136,0
1654763480,19.67,48.02,1,400,13168,20069,939.651,1.04,1.08,7.13,1.113,0.025,2137,0
1654763481,19.72,47.96,2,400,13169,20072,939.651,1.02,1.06,7.05,1.1,0.025,2138,0
1654763482,19.74,47.85,4,400,13170,20066,939.656,1.01,1.05,6.97,1.087,0.025,2139,0
1654763483,19.77,47.77,0,400,13183,20084,939.662,0.99,1.03,6.8,1.06,0.024,2140,0
1654763484,19.78,47.67,0,400,13176,20086,939.671,0.97,1.01,6.66,1.039,0.023,2141,0
1654763485,19.79,47.62,0,400,13177,20079,939.666,0.92,0.96,6.37,0.993,0.022,2142,0
1654763486,19.82,47.61,0,400,13177,20073,939.663,0.92,0.95,6.32,0.985,0.022,2143,0
1654763487,19.83,47.48,0,400,13186,20085,939.652,0.9,0.93,6.17,0.963,0.022,2144,0
1654763488,19.86,47.48,0,400,13188,20090,939.656,0.88,0.92,6.08,0.948,0.021,2145,0
1654763489,19.88,47.48,0,400,13188,20096,939.654,0.86,0.89,5.91,0.922,0.021,2146,0
1654763490,19.88,47.41,0,400,13193,20098,939.659,0.84,0.87,5.79,0.903,0.02,2147,0
1654763491,19.89,47.36,0,400,13191,20095,939.667,0.82,0.85,5.64,0.879,0.02,2148,0
1654763492,19.93,47.37,0,400,13193,20101,939.665,0.82,0.85,5.65,0.881,0.02,2149,0
1654763493,19.95,47.32,0,400,13194,20103,939.664,0.82,0.85,5.61,0.875,0.02,2150,0
1654763494,18.65,47.21,0,400,13177,20077,939.66,0.81,0.84,5.56,0.868,0.02,2151,0
1654763495,18.07,48.36,0,400,13174,20082,939.667,0.81,0.84,5.57,0.868,0.02,2152,0
1654763496,17.96,49.09,0,400,13183,20084,939.675,0.81,0.84,5.56,0.867,0.02,2153,0
1654763497,17.86,49.8,0,400,13177,20090,939.664,0.8,0.83,5.48,0.855,0.019,2154,0
1654763498,17.79,50.37,0,400,13187,20100,939.655,0.8,0.83,5.48,0.854,0.019,2155,0
1654763499,17.69,50.93,0,400,13199,20108,939.647,0.78,0.81,5.37,0.837,0.019,2156,0
1654763500,17.62,51.38,0,400,13192,20100,939.638,0.77,0.8,5.27,0.822,0.019,2157,0
1654763501,17.58,51.74,0,400,13200,20112,939.63,0.75,0.78,5.14,0.802,0.018,2158,0
1654763502,17.55,52.07,0,400,13200,20114,939.625,0.75,0.78,5.14,0.801,0.018,2159,0
1654763503,17.52,52.33,0,400,13198,20117,939.626,0.77,0.8,5.32,0.829,0.019,2160,0
1654763504,17.48,52.58,0,400,13196,20122,939.623,0.78,0.81,5.38,0.839,0.019,2161,0
1654763505,17.45,52.81,0,400,13193,20123,939.622,0.8,0.83,5.5,0.858,0.019,2162,0
1654763506,17.4,52.99,0,400,13191,20120,939.618,0.8,0.83,5.52,0.86,0.019,2163,0
1654763507,17.38,53.18,0,400,13196,20129,939.635,0.8,0.83,5.49,0.856,0.019,2164,0
1654763508,17.34,53.28,0,400,13188,20120,939.623,0.79,0.82,5.44,0.849,0.019,2165,0
1654763509,17.32,53.41,0,400,13185,20116,939.625,0.8,0.83,5.5,0.858,0.019,2166,0
1654763510,17.31,53.52,0,400,13191,20122,939.61,0.79,0.82,5.44,0.849,0.019,2167,0
1654763511,17.28,53.65,0,400,13190,20118,939.613,0.78,0.81,5.34,0.833,0.019,2168,0
1654763512,17.28,53.73,0,400,13188,20118,939.611,0.77,0.8,5.29,0.825,0.019,2169,0
1654763513,17.23,53.83,0,400,13192,20122,939.611,0.79,0.82,5.42,0.845,0.019,2170,0
1654763514,17.21,53.92,0,400,13182,20113,939.604,0.83,0.86,5.68,0.886,0.02,2171,0
1654763515,17.21,53.99,0,400,13178,20108,939.622,0.84,0.87,5.77,0.9,0.02,2172,0
1654763516,17.19,54.08,0,400,13183,20107,939.611,0.89,0.92,6.12,0.954,0.022,2173,0
1654763517,17.19,54.13,0,400,13188,20122,939.619,0.9,0.94,6.2,0.967,0.022,2174,0
1654763518,17.16,54.19,0,400,13187,20113,939.615,0.93,0.97,6.42,1.002,0.023,2175,0
1654763519,17.14,54.26,0,400,13183,20112,939.601,0.94,0.98,6.46,1.008,0.023,2176,0
1654763520,17.16,54.32,0,400,13181,20110,939.599,0.96,1,6.62,1.033,0.023,2177,0
1654763521,17.13,54.35,0,400,13189,20112,939.6,0.96,1,6.63,1.034,0.023,2178,0
1654763522,17.13,54.41,0,400,13193,20121,939.608,0.95,0.98,6.51,1.015,0.023,2179,0
1654763523,18.4,54.52,0,400,13201,20142,939.603,0.94,0.98,6.5,1.013,0.023,2180,0
1654763524,18.78,54.02,0,400,13206,20140,939.603,0.93,0.96,6.39,0.996,0.022,2181,0
1654763525,18.99,53.26,0,400,13209,20144,939.592,0.91,0.94,6.26,0.975,0.022,2182,0
1654763526,19.13,52.53,0,400,13205,20136,939.591,0.88,0.92,6.07,0.947,0.021,2183,0
1654763527,19.23,51.81,0,400,13202,20137,939.596,0.87,0.91,6.02,0.938,0.021,2184,0
1654763528,19.33,51.23,0,400,13200,20138,939.608,0.85,0.89,5.87,0.916,0.021,2185,0
1654763529,19.41,50.68,0,400,13201,20138,939.607,0.85,0.89,5.88,0.917,0.021,2186,0
1654763530,19.46,50.24,0,400,13190,20126,939.625,0.85,0.89,5.88,0.917,0.021,2187,0
1654763531,19.49,49.79,0,400,13195,20121,939.613,0.86,0.89,5.91,0.922,0.021,2188,0
1654763532,19.55,49.47,0,400,13195,20140,939.618,0.87,0.9,5.99,0.934,0.021,2189,0
1654763533,19.6,49.23,0,400,13204,20136,939.619,0.91,0.95,6.26,0.977,0.022,2190,0
1654763534,19.64,48.93,0,400,13194,20125,939.621,0.93,0.96,6.39,0.997,0.023,2191,0
1654763535,19.68,48.74,0,400,13192,20126,939.621,0.96,0.99,6.59,1.027,0.023,2192,0
1654763536,19.72,48.51,0,400,13197,20130,939.623,0.96,1,6.61,1.031,0.023,2193,0
1654763537,19.75,48.36,0,400,13198,20128,939.622,0.96,1,6.61,1.03,0.023,2194,0
1654763538,19.78,48.23,0,400,13191,20114,939.627,0.95,0.99,6.53,1.019,0.023,2195,0
1654763539,19.79,48.11,0,400,13190,20117,939.635,0.92,0.96,6.33,0.988,0.022,2196,0
1654763540,19.83,48.01,0,400,13191,20119,939.624,0.93,0.96,6.37,0.994,0.022,2197,0
1654763541,19.88,47.82,5,400,13192,20117,939.619,0.92,0.96,6.34,0.989,0.022,2198,0
1654763542,19.89,47.78,7,400,13193,20120,939.608,0.91,0.94,6.24,0.973,0.022,2199,0
1654763543,19.91,47.67,8,400,13189,20118,939.603,0.88,0.91,6.06,0.945,0.021,2200,0
1654763544,19.95,47.66,7,400,13188,20122,939.6,0.88,0.91,6.03,0.941,0.021,2201,0
1654763545,19.93,47.59,5,400,13190,20118,939.594,0.89,0.92,6.1,0.951,0.021,2202,0
1654763546,19.98,47.53,7,400,13193,20119,939.599,0.88,0.92,6.08,0.948,0.021,2203,0
1654763547,19.99,47.49,6,400,13190,20116,939.603,0.86,0.89,5.89,0.919,0.021,2204,0
1654763548,20.02,47.43,5,400,13196,20118,939.601,0.83,0.87,5.74,0.895,0.02,2205,0
1654763549,20.01,47.37,3,400,13195,20117,939.596,0.81,0.84,5.55,0.866,0.02,2206,0
1654763550,20.04,47.28,0,400,13196,20124,939.599,0.78,0.81,5.38,0.838,0.019,2207,0
1654763551,20.05,47.27,2,400,13199,20125,939.588,0.78,0.81,5.35,0.835,0.019,2208,0
1654763552,20.08,47.2,3,400,13203,20118,939.586,0.76,0.79,5.26,0.821,0.019,2209,0
1654763553,18.79,47.11,17,400,13189,20108,939.594,0.78,0.81,5.36,0.835,0.019,2210,0
1654763554,18.37,47.59,19,400,13185,20103,939.59,0.8,0.84,5.54,0.864,0.02,2211,0
1654763555,18.18,48.33,28,400,13180,20092,939.586,0.82,0.85,5.62,0.877,0.02,2212,0
1654763556,18.07,49.09,11,400,13192,20104,939.596,0.82,0.86,5.68,0.885,0.02,2213,0
1654763557,17.98,49.73,11,400,13191,20113,939.599,0.83,0.86,5.72,0.892,0.02,2214,0
1654763558,17.89,50.34,16,400,13187,20108,939.597,0.86,0.89,5.9,0.92,0.021,2215,0
1654763559,17.82,50.82,17,400,13192,20113,939.593,0.86,0.9,5.93,0.925,0.021,2216,0
1654763560,17.77,51.3,5,400,13194,20114,939.596,0.87,0.9,5.99,0.934,0.021,2217,0
1654763561,17.72,51.65,12,400,13190,20109,939.604,0.87,0.9,5.97,0.931,0.021,2218,0
1654763562,17.67,51.98,1,400,13198,20123,939.604,0.89,0.93,6.15,0.959,0.022,2219,0
1654763563,17.62,52.24,11,400,13190,20114,939.614,0.9,0.93,6.18,0.963,0.022,2220,0
1654763564,17.61,52.45,11,400,13188,20107,939.615,0.88,0.91,6.04,0.942,0.021,2221,0
1654763565,17.55,52.67,9,400,13188,20121,939.616,0.86,0.89,5.91,0.921,0.021,2222,0
1654763566,17.52,52.87,2,400,13181,20112,939.608,0.83,0.86,5.73,0.893,0.02,2223,0
1654763567,17.51,53.04,3,400,13192,20122,939.604,0.81,0.84,5.58,0.87,0.02,2224,0
1654763568,17.5,53.18,2,400,13191,20124,939.604,0.81,0.84,5.55,0.866,0.02,2225,0
1654763569,17.42,53.33,5,400,13185,20115,939.616,0.81,0.84,5.55,0.865,0.02,2226,0
1654763570,17.42,53.42,10,400,13186,20121,939.617,0.81,0.84,5.57,0.868,0.02,2227,0
1654763571,17.42,53.56,3,400,13192,20121,939.614,0.79,0.82,5.44,0.848,0.019,2228,0
1654763572,17.38,53.66,6,400,13195,20120,939.62,0.79,0.83,5.47,0.853,0.019,2229,0
1654763573,17.37,53.78,0,400,13199,20127,939.618,0.83,0.86,5.72,0.893,0.02,2230,0
1654763574,17.34,53.85,9,400,13199,20117,939.611,0.84,0.87,5.78,0.902,0.02,2231,0
1654763575,17.34,53.9,0,400,13202,20141,939.606,0.84,0.88,5.81,0.907,0.02,2232,0
1654763576,17.31,54.01,0,400,13207,20128,939.602,0.84,0.87,5.79,0.902,0.02,2233,0
1654763577,17.31,54.08,0,400,13199,20129,939.607,0.82,0.85,5.63,0.879,0.02,2234,0
1654763578,17.28,54.15,0,400,13215,20135,939.617,0.81,0.84,5.57,0.869,0.02,2235,0
1654763579,17.3,54.24,0,400,13213,20133,939.604,0.83,0.87,5.74,0.895,0.02,2236,0
1654763580,17.24,54.28,0,400,13206,20131,939.604,0.83,0.87,5.74,0.896,0.02,2237,0
1654763581,17.27,54.38,0,400,13214,20136,939.606,0.83,0.86,5.73,0.893,0.02,2238,0
1654763582,17.27,54.44,0,400,13208,20138,939.612,0.85,0.88,5.82,0.907,0.02,2239,0
1654763583,18.53,54.53,0,400,13232,20165,939.607,0.9,0.94,6.2,0.967,0.022,2240,0
1654763584,18.92,54.04,0,400,13232,20172,939.609,0.91,0.95,6.27,0.978,0.022,2241,0
1654763585,19.1,53.28,0,400,13231,20175,939.595,0.96,0.99,6.58,1.026,0.023,2242,0
1654763586,19.27,52.57,0,400,13229,20178,939.597,0.97,1,6.64,1.036,0.023,2243,0
1654763587,19.36,51.86,0,400,13234,20172,939.606,0.96,1,6.63,1.033,0.023,2244,0
1654763588,19.46,51.22,0,400,13230,20177,939.619,0.97,1.01,6.66,1.039,0.023,2245,0
1654763589,19.51,50.72,0,400,13224,20161,939.617,0.97,1,6.65,1.037,0.023,2246,0
1654763590,19.58,50.23,0,400,13223,20169,939.614,0.97,1.01,6.68,1.041,0.024,2247,0
1654763591,19.62,49.87,0,400,13224,20175,939.618,0.98,1.01,6.72,1.047,0.024,2248,0
1654763592,19.68,49.56,0,400,13219,20164,939.618,0.97,1.01,6.69,1.042,0.024,2249,0
1654763593,19.74,49.26,0,400,13224,20169,939.631,0.99,1.03,6.83,1.065,0.024,2250,0
1654763594,19.77,49.02,0,400,13226,20169,939.626,1.05,1.09,7.22,1.126,0.025,2251,0
1654763595,19.82,48.83,0,400,13220,20159,939.624,1.07,1.11,7.36,1.147,0.026,2252,0
1654763596,19.86,48.62,0,400,13224,20170,939.625,1.08,1.12,7.44,1.16,0.026,2253,0
1654763597,19.89,48.48,0,400,13224,20165,939.616,1.1,1.14,7.57,1.18,0.027,2254,0
1654763598,19.91,48.32,0,400,13225,20175,939.622,1.11,1.15,7.63,1.19,0.027,2255,0
1654763599,19.93,48.17,0,400,13220,20160,939.62,1.1,1.14,7.55,1.177,0.027,2256,0
1654763600,19.97,48.1,0,400,13228,20168,939.617,1.09,1.13,7.49,1.168,0.026,2257,0
1654763601,19.98,48,0,400,13219,20167,939.619,1.1,1.14,7.56,1.18,0.027,2258,0
1654763602,20.02,47.92,0,400,13223,20167,939.63,1.13,1.17,7.78,1.214,0.027,2259,0
1654763603,20.02,47.84,0,400,13220,20161,939.635,1.15,1.2,7.93,1.236,0.028,2260,0
1654763604,20.05,47.75,0,400,13220,20162,939.628,1.15,1.19,7.91,1.234,0.028,2261,0
1654763605,20.06,47.69,0,400,13226,20177,939.616,1.15,1.2,7.95,1.239,0.028,2262,0
1654763606,20.09,47.58,0,400,13222,20164,939.608,1.16,1.21,8,1.247,0.028,2263,0
1654763607,20.1,47.56,0,400,13226,20169,939.618,1.18,1.23,8.13,1.268,0.029,2264,0
1654763608,20.12,47.48,0,400,13220,20157,939.612,1.2,1.25,8.26,1.288,0.029,2265,0
1654763609,20.15,47.45,0,400,13224,20167,939.616,1.22,1.27,8.41,1.312,0.03,2266,0
1654763610,20.16,47.4,0,400,13226,20178,939.61,1.22,1.27,8.39,1.309,0.03,2267,0
1654763611,20.19,47.32,0,400,13220,20166,939.609,1.18,1.23,8.13,1.267,0.029,2268,0
1654763612,20.19,47.33,0,400,13228,20175,939.618,1.19,1.23,8.17,1.274,0.029,2269,0
1654763613,18.92,47.2,12,400,13199,20151,939.613,1.18,1.23,8.14,1.269,0.029,2270,0
